"vx","vy","Points:0","Points:1","Points:2"
-1.2138156128e+02,9.4124176025e+02,-2.7689500000e+05,-9.3646125000e+05,0.0000000000e+00
-1.2112851715e+02,9.4140527344e+02,-2.7688862500e+05,-9.3651087500e+05,0.0000000000e+00
-1.2089223480e+02,9.4145782471e+02,-2.7688225000e+05,-9.3656043750e+05,0.0000000000e+00
-1.2065631104e+02,9.4150775146e+02,-2.7687590625e+05,-9.3661006250e+05,0.0000000000e+00
-1.2042074585e+02,9.4155493164e+02,-2.7686953125e+05,-9.3665962500e+05,0.0000000000e+00
-1.2018553162e+02,9.4159954834e+02,-2.7686321875e+05,-9.3670925000e+05,0.0000000000e+00
-1.1995067596e+02,9.4164147949e+02,-2.7685687500e+05,-9.3675881250e+05,0.0000000000e+00
-1.1971617889e+02,9.4168078613e+02,-2.7685056250e+05,-9.3680843750e+05,0.0000000000e+00
-1.1948203278e+02,9.4171746826e+02,-2.7684428125e+05,-9.3685806250e+05,0.0000000000e+00
-1.1924823761e+02,9.4175152588e+02,-2.7683796875e+05,-9.3690762500e+05,0.0000000000e+00
-1.1901479340e+02,9.4178295898e+02,-2.7683171875e+05,-9.3695725000e+05,0.0000000000e+00
-1.1878361511e+02,9.4184729004e+02,-2.7682543750e+05,-9.3700687500e+05,0.0000000000e+00
-1.1856416321e+02,9.4213012695e+02,-2.7681918750e+05,-9.3705643750e+05,0.0000000000e+00
-1.1834411621e+02,9.4240942383e+02,-2.7681296875e+05,-9.3710606250e+05,0.0000000000e+00
-1.1812347412e+02,9.4268505859e+02,-2.7680675000e+05,-9.3715568750e+05,0.0000000000e+00
-1.1790222931e+02,9.4295721436e+02,-2.7680053125e+05,-9.3720531250e+05,0.0000000000e+00
-1.1768038940e+02,9.4322576904e+02,-2.7679431250e+05,-9.3725493750e+05,0.0000000000e+00
-1.1745795441e+02,9.4349078369e+02,-2.7678815625e+05,-9.3730450000e+05,0.0000000000e+00
-1.1723493195e+02,9.4375231934e+02,-2.7678196875e+05,-9.3735412500e+05,0.0000000000e+00
-1.1701131439e+02,9.4401031494e+02,-2.7677581250e+05,-9.3740375000e+05,0.0000000000e+00
-1.1678711700e+02,9.4426477051e+02,-2.7676968750e+05,-9.3745337500e+05,0.0000000000e+00
-1.1656256104e+02,9.4453448486e+02,-2.7676353125e+05,-9.3750300000e+05,0.0000000000e+00
-1.1634123230e+02,9.4509173584e+02,-2.7675743750e+05,-9.3755262500e+05,0.0000000000e+00
-1.1611978149e+02,9.4564599609e+02,-2.7675131250e+05,-9.3760225000e+05,0.0000000000e+00
-1.1589818573e+02,9.4619726562e+02,-2.7674525000e+05,-9.3765187500e+05,0.0000000000e+00
-1.1567646790e+02,9.4674566650e+02,-2.7673915625e+05,-9.3770150000e+05,0.0000000000e+00
-1.1545461273e+02,9.4729107666e+02,-2.7673312500e+05,-9.3775112500e+05,0.0000000000e+00
-1.1523262024e+02,9.4783355713e+02,-2.7672706250e+05,-9.3780081250e+05,0.0000000000e+00
-1.1501050568e+02,9.4837310791e+02,-2.7672103125e+05,-9.3785043750e+05,0.0000000000e+00
